Model,Precision,Recall,F1,AUC_ROC,Delta_t_mean,Delta_t_std,Early,Late,Never
Random Forest,0.678060331523874,0.7305786715506506,0.7025410986029685,0.9470045926661813,-1.90228825,2.8196041560089196,87.0,33.0,0.0
Extra Trees,0.6834493480311653,0.7237312782025795,0.7024367078612576,0.9491823199234135,-1.7644365833333333,2.7727787648673234,84.0,36.0,0.0
HistGradientBoosting,0.6091611267384521,0.8048849801038018,0.6923492323180445,0.9550291666348192,-2.1850732500000003,2.7916830821098952,107.0,13.0,0.0
Gradient Boosting,0.7600213456944933,0.6735494048106931,0.7120085162977577,0.9668461716915873,-0.6915882500000001,1.9331824808631246,69.0,51.0,0.0
SVC,0.6807221238068443,0.6504005822970165,0.6641363466493986,0.957251814415149,-2.590257731092437,3.1670344882492834,90.0,29.0,1.0
KNN,0.7362206288574527,0.6109291925777794,0.6659599638580711,0.9465134675054061,-0.4081740833333335,1.419456249947784,65.0,55.0,0.0
Logistic Regression,0.20878622415538511,0.8042702272237319,0.33112871836180713,0.8200625762944524,-5.256808250000001,2.179294465173558,120.0,0.0,0.0
AdaBoost,0.08243329845429018,0.748859047111343,0.14851616938128367,0.6821890971547853,-5.542719083333333,1.9084228962173608,120.0,0.0,0.0
XGBoost,0.6914117518184509,0.7778694978195342,0.7305591359555702,0.9629471442124865,-1.73652575,2.6876162757062443,92.0,28.0,0.0
LightGBM,0.7210208991856539,0.7511141329310981,0.7345393814807937,0.968172567630744,-0.9972815833333335,2.1023101610882713,80.0,40.0,0.0
